No,MemoryID,Word1,Word2,Title,Poem,EndingRule,Mood,ObservationType,SceneTheme,Location,TimeOfDay,Weather,Brightness,Palette,Subject,Symbol,Composition,Lighting,CameraStyle,Rarity,RareEffect,ImagePrompt,Filename,OutputPath,Generate,GenerationStatus,ReviewStatus,Notes
001,M001,あの日の,夏祭り,あの日の夏祭り,"月が低く見えた。
あの日の夏祭りを思い出しそうになる。
夜風だけ覚えていた。",だけが,Serious,Memory,神社の夏祭り,神社参道,夜,微風,Normal,deep indigo and soft cyan,a lone person seen from behind,提灯と屋台,後ろ姿,青白い光,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 神社の夏祭り at 神社参道. Title concept: あの日の夏祭り. Visual motif: 提灯と屋台. Subject: a lone person seen from behind. Composition: rear view, face not visible. Time: 夜. Weather and air: 微風. Lighting: 青白い光. Color palette: deep indigo and soft cyan. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 月が低く見えた。 / あの日の夏祭りを思い出しそうになる。 / 夜風だけ覚えていた。.",001.webp,images/memory/001.webp,YES,PENDING,UNREVIEWED,
002,M002,あの日の,花火,あの日の花火,"月が低く見えた。
線香花火をまだ信じていた。
光だけ笑っていた。",だけが,Smile,Smile,打ち上げ花火,河川敷または湖畔,夜,湿った夜気,Normal,midnight blue with warm lantern orange,two distant figures walking quietly,花火と煙,後ろ姿,花火,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 打ち上げ花火 at 河川敷または湖畔. Title concept: あの日の花火. Visual motif: 花火と煙. Subject: two distant figures walking quietly. Composition: rear view, face not visible. Time: 夜. Weather and air: 湿った夜気. Lighting: 花火. Color palette: midnight blue with warm lantern orange. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 月が低く見えた。 / 線香花火をまだ信じていた。 / 光だけ笑っていた。.",002.webp,images/memory/002.webp,YES,PENDING,UNREVIEWED,
003,M003,あの日の,ラムネ,あの日のラムネ,"汗が少し乾いた。
あの日のラムネを思い出しそうになる。
ビー玉だけ帰らなかった。",だけが,Serious,Memory,冷たいラムネ瓶,縁側または夜店,夜,薄曇り,Normal,violet-blue with pale moonlight,an empty chair suggesting someone just left,ビー玉と水滴,後ろ姿,月明かり,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 冷たいラムネ瓶 at 縁側または夜店. Title concept: あの日のラムネ. Visual motif: ビー玉と水滴. Subject: an empty chair suggesting someone just left. Composition: rear view, face not visible. Time: 夜. Weather and air: 薄曇り. Lighting: 月明かり. Color palette: violet-blue with pale moonlight. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 汗が少し乾いた。 / あの日のラムネを思い出しそうになる。 / ビー玉だけ帰らなかった。.",003.webp,images/memory/003.webp,YES,PENDING,UNREVIEWED,
004,M004,あの日の,夕暮れ,あの日の夕暮れ,"空はまだ青かった。
ビー玉が最後まで出てこない。
風だけ知っていた。",だけが,Smile,Smile,夏の夕暮れ,住宅街または河川敷,朝,風がある,Bright,warm sunset orange and clear cobalt blue,a child-sized silhouette far in the background,長い影と茜空,後ろ姿,灯籠,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark, brighter exposure, luminous summer air, hopeful but not overly cheerful. Scene: 夏の夕暮れ at 住宅街または河川敷. Title concept: あの日の夕暮れ. Visual motif: 長い影と茜空. Subject: a child-sized silhouette far in the background. Composition: rear view, face not visible. Time: 朝. Weather and air: 風がある. Lighting: 灯籠. Color palette: warm sunset orange and clear cobalt blue. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 空はまだ青かった。 / ビー玉が最後まで出てこない。 / 風だけ知っていた。.",004.webp,images/memory/004.webp,YES,PENDING,UNREVIEWED,
005,M005,あの日の,鳥居,あの日の鳥居,"汗が少し乾いた。
あの日の鳥居を思い出しそうになる。
境界だけ揺れていた。",だけが,Serious,Boundary,境界に立つ鳥居,神社の入口,夜,微風,Normal,summer dusk peach and cobalt blue,"no visible person, only traces of presence",鳥居としめ縄,手元,青白い光,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 境界に立つ鳥居 at 神社の入口. Title concept: あの日の鳥居. Visual motif: 鳥居としめ縄. Subject: no visible person, only traces of presence. Composition: close-up of hands and an object, face not visible. Time: 夜. Weather and air: 微風. Lighting: 青白い光. Color palette: summer dusk peach and cobalt blue. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 汗が少し乾いた。 / あの日の鳥居を思い出しそうになる。 / 境界だけ揺れていた。.",005.webp,images/memory/005.webp,YES,PENDING,UNREVIEWED,
006,M006,あの日の,灯籠,あの日の灯籠,"汗が少し乾いた。
ラムネの泡だけ元気だった。
灯りだけ残っていた。",だけが,Smile,Smile,水面を流れる灯籠,静かな川,夕暮れ,雨上がり,Bright,bright summer blue and soft golden sunlight,a hand holding a small summer object,灯りと水面,水面,花火,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark, brighter exposure, luminous summer air, hopeful but not overly cheerful. Scene: 水面を流れる灯籠 at 静かな川. Title concept: あの日の灯籠. Visual motif: 灯りと水面. Subject: a hand holding a small summer object. Composition: low angle focused on reflections on water. Time: 夕暮れ. Weather and air: 雨上がり. Lighting: 花火. Color palette: bright summer blue and soft golden sunlight. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 汗が少し乾いた。 / ラムネの泡だけ元気だった。 / 灯りだけ残っていた。.",006.webp,images/memory/006.webp,YES,PENDING,UNREVIEWED,
007,M007,あの日の,河川敷,あの日の河川敷,"風が少し止んだ。
あの日の河川敷を思い出しそうになる。
風だけ遊んでいた。",だけが,Serious,Memory,夏の河川敷,川沿いの道,青い時間,雨上がり,Normal,deep indigo and soft cyan,a lone person seen from behind,草と風,横顔,青白い光,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 夏の河川敷 at 川沿いの道. Title concept: あの日の河川敷. Visual motif: 草と風. Subject: a lone person seen from behind. Composition: quiet side profile, facial features soft and indistinct. Time: 青い時間. Weather and air: 雨上がり. Lighting: 青白い光. Color palette: deep indigo and soft cyan. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 風が少し止んだ。 / あの日の河川敷を思い出しそうになる。 / 風だけ遊んでいた。.",007.webp,images/memory/007.webp,YES,PENDING,UNREVIEWED,
008,M008,あの日の,蝉時雨,あの日の蝉時雨,"ノイズが静かに混ざる。
ビー玉が最後まで出てこない。
音だけ夏だった。",だけが,Smile,Smile,蝉時雨の木陰,古い公園または参道,青い時間,雨上がり,Normal,midnight blue with warm lantern orange,two distant figures walking quietly,木漏れ日と蝉の気配,横顔,月明かり,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 蝉時雨の木陰 at 古い公園または参道. Title concept: あの日の蝉時雨. Visual motif: 木漏れ日と蝉の気配. Subject: two distant figures walking quietly. Composition: quiet side profile, facial features soft and indistinct. Time: 青い時間. Weather and air: 雨上がり. Lighting: 月明かり. Color palette: midnight blue with warm lantern orange. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: ノイズが静かに混ざる。 / ビー玉が最後まで出てこない。 / 音だけ夏だった。.",008.webp,images/memory/008.webp,YES,PENDING,UNREVIEWED,
009,M009,あの日の,祭り囃子,あの日の祭り囃子,"夜気がゆっくり近づく。
あの日の祭り囃子を思い出しそうになる。
音だけ帰らなかった。",だけが,Serious,Memory,遠くの祭り囃子,夜の路地,夕暮れ後,微風,Normal,violet-blue with pale moonlight,an empty chair suggesting someone just left,太鼓と揺れる提灯,足元,夕暮れ,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 遠くの祭り囃子 at 夜の路地. Title concept: あの日の祭り囃子. Visual motif: 太鼓と揺れる提灯. Subject: an empty chair suggesting someone just left. Composition: low angle close-up of sandals and wet ground. Time: 夕暮れ後. Weather and air: 微風. Lighting: 夕暮れ. Color palette: violet-blue with pale moonlight. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 夜気がゆっくり近づく。 / あの日の祭り囃子を思い出しそうになる。 / 音だけ帰らなかった。.",009.webp,images/memory/009.webp,YES,PENDING,UNREVIEWED,
010,M010,あの日の,帰り道,あの日の帰り道,"汗が少し乾いた。
扇風機に向かって『あー』と言いたくなった。
靴音だけ続いていた。",だけが,Smile,Smile,祭りの帰り道,濡れた住宅街,夕暮れ後,湿った夜気,Normal,teal shadows with faded amber,a child-sized silhouette far in the background,街灯と二つの影,後ろ姿,青白い光,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 祭りの帰り道 at 濡れた住宅街. Title concept: あの日の帰り道. Visual motif: 街灯と二つの影. Subject: a child-sized silhouette far in the background. Composition: rear view, face not visible. Time: 夕暮れ後. Weather and air: 湿った夜気. Lighting: 青白い光. Color palette: teal shadows with faded amber. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 汗が少し乾いた。 / 扇風機に向かって『あー』と言いたくなった。 / 靴音だけ続いていた。.",010.webp,images/memory/010.webp,YES,PENDING,UNREVIEWED,
